question,slug,market_id,volume,liquidity,active,closed,end_date,created_at,outcomes,outcome_prices,description,clob_token_ids
Will the Iranian regime fall in 2025?,will-the-iranian-regime-fall-in-2025,553374,4992689.343189,0.0,True,True,2025-12-31T00:00:00Z,2025-06-17T21:30:40.597163Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the Islamic Republic of Iran’s current ruling regime is overthrown, collapsed, or otherwise ceases to govern by December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No”.

This requires a broad consensus of reporting indicating that core structures of the Islamic Republic (e.g. the office of the Supreme Leader, the Guardian Council, IRGC control under clerical authority) have been dissolved, incapacitated, or replaced by a fundamentally diff","[""86546134986361680573113760503922996133227259892780182537815828356227417788077"", ""102751443583062027363518660027805998371035426655241227065738215911615033552627""]"
Will Iran close the Strait of Hormuz in 2025?,will-iran-close-the-strait-of-hormuz-in-2025,519695,3538910.875464,0.0,True,True,2025-12-31T12:00:00Z,2025-01-22T22:48:15.345595Z,"['Yes', 'No']","['0', '1']","If Iran halts or severely restricts international maritime traffic through the Strait of Hormuz by December 31, 2025, 11:59 PM ET, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official governmental information, however a consensus of credible reporting will also be used.","[""108468416668663017133298741485453125150952822149773262784582671647441799250111"", ""47757079633894387112291987083810225642258238114957712348556688720736895499502""]"
Israel military response against Iran in October?,israel-military-response-against-iran-in-october,508551,3265662.832514,0.0,True,True,2024-10-31T12:00:00Z,2024-10-01T17:23:27.819769Z,"['Yes', 'No']","['1', '0']","This market will resolve to ""Yes"" if Israel initiates a military action on Iranian soil, airspace, or maritime territory or against any Iranian embassies between October 1, 2024, and October 31, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by Israel on Iranian soil, airspace, or maritime territory (e.g. if a weapons depot on Iranian soil is hit by an Israeli missile, this market ","[""103852241945643841587267647271045151308614373976509515203195916084875249173965"", ""12531758130451680242343963392191466173787486890315483558900688173409430693587""]"
Another Iran strike on Israel in 2024?,another-iran-strike-on-israel-in-2024,511042,3168665.68746599,0.0,True,True,2024-12-31T12:00:00Z,2024-10-26T16:54:19.330301Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if Iran initiates a military action on Israeli soil, airspace, maritime territory or any official Israeli embassy or consulate between October 25, 12:00 PM ET and December 31, 2024, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by Iran on Israeli soil, airspace, maritime territory or any official Israeli embassy or consulate (e.g. if a weapons dep","[""15150201125006927303530925266095302188276354307820114493059773825564127445663"", ""39147921896906450403776058719771784406319740322748120728158979812409086227154""]"
US-Iran nuclear deal in 2025?,us-x-iran-nuclear-deal-in-2025,521878,2796606.535144,0.0,True,True,2025-12-31T12:00:00Z,2025-02-05T17:36:43.437688Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if an official agreement over Iranian nuclear research and/or nuclear weapon development, defined as a publicly announced mutual agreement, is reached between the United States and Iran between February 4, and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No”.

If such an agreement is officially reached before the resolution date, this market will resolve to ""Yes"", regardless of if/when the agreement goes into effect.

Agreements that i","[""86964554239869134298526596083850367463176146674230300967120111145834668642528"", ""78980143089761158205326500771931276506953410848345368457813041248529534940428""]"
Will the US officially declare war on Iran in 2025?,will-the-us-officially-declare-war-on-iran-in-2025,554710,1725721.533446,0.0,True,True,2025-12-31T00:00:00Z,2025-06-22T01:25:24.440296Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the United States formally declares war on Iran through an act of Congress between June 21 and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

To qualify, Congress must pass a formal declaration of war, consistent with its constitutional authority under Article I, Section 8. Authorizations for the use of military force (AUMFs), executive orders, presidential statements, or military actions do not qualify unless accompanied by a f","[""100476445968382873345661333079051733700051577554236066703592775417109438047815"", ""110792135383553509139300839772665963303799632302228591764061159238017574414078""]"
Israel strikes Iran before 2026?,israel-strikes-iran-before-2026,555770,1713636.75053,0.0,True,True,2025-12-31T00:00:00Z,2025-06-25T18:47:20.415517Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if Israel initiates a drone, missile, or air strike on Iranian soil or any official Iranian embassy or consulate by December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a qualifying ""strike"" is defined as the use of aerial bombs, drones or missiles (including cruise or ballistic missiles) launched by Israeli military forces that impact Iranian ground territory or any official Iranian embassy or consulate ","[""26101387301119236320811157843042624909865342298415631849879665540468380004943"", ""4935491735120219515538276844021763019234029777255150441710331553232678592834""]"
Iran Nuke in 2025?,iran-nuke-in-2025,520927,1523164.37993,0.0,True,True,2025-12-31T12:00:00Z,2025-01-29T22:28:11.682844Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if credible reports from international nuclear agencies, Iran's government itself, or credible global news sources officially confirm that Iran possesses a nuclear weapon by December 31, 2025, 11:59 PM ET.

Otherwise, this market will resolve to ""No"".","[""43541906415508679325276246713350983384464924175917785722017487178637607801263"", ""42088475271240543453547185258418176791428175519469427479319814497153066494553""]"
Iran strike on Israel before December?,iran-strike-on-israel-before-december,511520,1317271.57787,0.0,True,True,2024-11-30T12:00:00Z,2024-10-31T19:17:15.405739Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if Iran initiates a military action on Israeli soil, airspace, maritime territory or any official Israeli embassy or consulate between October 31, 12:00 PM ET and November 30, 2024, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by Iran on Israeli soil, airspace, maritime territory or any official Israeli embassy or consulate (e.g. if a weapons dep","[""103742950280652320379046276934203232056255397167873316248488394120575566443501"", ""3201284191595307368031284822368763095732633352973349969576195110710013706594""]"
Another US military action against Iran before 2026?,another-us-military-action-against-iran-before-2026,556126,1185190.980067,0.0,True,True,2025-12-31T00:00:00Z,2025-06-26T21:40:11.954664Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the US initiates a military action on Iranian soil, airspace, or maritime territory or against any Iranian embassies or consulates between June 26, 7:00 PM ET and, December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by the US military on Iranian soil, airspace, or maritime territory (e.g. if a weapons depot on Iranian soil is hit b","[""110754158909198666310157931510609790457387057825758954549393180970665313429919"", ""3384271046136801331002839026431415743173699349866593444587867500965029472547""]"
Israel x Iran ceasefire broken by December 31?,israel-x-iran-ceasefire-broken-by-december-31-374,566910,1078689.797501,0.0,True,True,2025-12-31T00:00:00Z,2025-07-23T14:17:19.295411Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if either Israel initiates a drone, missile, or air strike on Iranian soil or any official Iranian embassy or consulate, or Iran initiates a drone, missile, or air strike on Israeli soil or any official Israeli embassy or consulate, by 11:59 PM ET on the listed date. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a qualifying ""strike"" is defined as the use of aerial bombs, drones or missiles (including cruise or ballistic missiles","[""106065186496757066019726659690787292180198980853486977438435043697482467425021"", ""2626981440202580621200943960787013017849901644589853023147576914398535144278""]"
Will the Iranian regime survive U.S. military strikes?,will-the-iranian-regime-survive-us-military-strikes,553610,927476.486451,0.0,True,True,2025-12-31T00:00:00Z,2025-06-18T22:12:29.60786Z,"['Yes', 'No']","['1', '0']","This market will resolve to ""Yes"" if both of the following conditions are met by December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".


1. The US initiates a military action on Iranian soil, airspace, or maritime territory or against any Iranian embassies or consulates between June 18, and December 31, 2025, 11:59 PM ET. 

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by the US military on Iranian soil, airspace, o","[""24063708393178999718001225000954014704224465114874650888784634838006803883914"", ""37086549051015625558681419701444709309105768733747869418039674625330780356034""]"
Will the U.S. invade Iran in 2025?,will-the-us-invade-iran-in-2025,552121,852963.955288,0.0,True,True,2026-01-01T00:00:00Z,2025-06-13T07:09:16.903639Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the United States commences a military offensive intended to establish control over any portion of Iran between June 18 and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, land de facto controlled by Iran or the United States as of June 18, 2025, 12:00 PM ET, will be considered the sovereign territory of that country.

The resolution source for this market will be a consensus of credible sources.","[""17592378381224813124850737725166936801684399972345775690711711671039045175140"", ""13324613096859080057060027737920402942673446704187573569756481222588986070885""]"
U.S. military action against Iran in 2024?,us-military-action-against-iran-in-2024,510492,495157.119794,0.0,True,True,2024-12-31T12:00:00Z,2024-10-22T01:26:28.614015Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the United States initiates a military action on Iranian soil, airspace, or maritime territory between October 21 and December 31, 2024, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by the U.S. on Iranian soil, airspace, or maritime territory (e.g. if a weapons depot on Iranian soil is hit by an U.S. missile, this market will resolve to ""Yes"")","[""94203779667566609463261414094108958746199851074506751088179777194357177121639"", ""87450472238352233384510823112576122571176715638241016375797226456337206106544""]"
US forces in Iran in 2025?,us-forces-in-iran-in-2025,554711,427666.290329,0.0,True,True,2025-12-31T12:00:00Z,2025-06-22T01:27:54.719461Z,"['Yes', 'No']","['0', '1']","This market will resolve to “Yes” if active regular US military personnel physically enter Iran for combat operations at any point between June 21, 2025, and December 31, 2025, 11:59 PM ET.

US military personnel must physically enter the terrestrial territory of Iran to qualify. Entering Iran's maritime or aerial territory will not count.

High ranking US service members entering Iran for diplomatic purposes (and their accompanying entourage), military contractors, military advisors, and specia","[""90903067788657837026811644905467886861283734336113712103044863867260352904986"", ""67222849947245432821687777961447700967612622766736082045198776812603158749531""]"
Iran strike on Israel before November?,iran-strike-on-israel-before-november,507740,294630.301763,0.0,True,True,2024-10-31T12:00:00Z,2024-09-23T18:31:11.308524Z,"['Yes', 'No']","['1', '0']","This market will resolve to ""Yes"" if Iran initiates a military action on Israeli soil, airspace, maritime territory or any official Israeli embassy or consulate between September 22 and October 31, 2024, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by Iran on Israeli soil, airspace, maritime territory or any official Israeli embassy or consulate (e.g. if a weapons depot on Israel","[""38576329773754127081718062841512605341180161901225219242565037887640218245210"", ""16841967213187811921279066321290090287615163266234891780501539415237137036400""]"
Israel military action against Iran before 2026?,israel-military-action-against-iran-before-2026,549339,155743.329028,0.0,True,True,2025-12-31T00:00:00Z,2025-06-02T22:02:28.790659Z,"['Yes', 'No']","['1', '0']","This market will resolve to ""Yes"" if Israel initiates a military action on Iranian soil, airspace, or maritime territory or against any Iranian embassies or consulates between March 31, and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a ""military action"" will be considered to be any use of force executed by Israel on Iranian soil, airspace, or maritime territory (e.g. if a weapons depot on Iranian soil is hit by an Israeli missile","[""96222205735614822181835198008036382810233046157485432873843746984527488589009"", ""72564316505339954272902737786116593772527481321799773669358420053128795364144""]"
Will Israel target an Iranian oil or gas facility?,will-israel-target-an-iranian-oil-or-gas-facility,508572,140586.560806,0.0,True,True,2024-10-04T12:00:00Z,2024-10-01T18:21:51.039353Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if Israel carries out a kinetic military strike against an Iranian oil or gas facility, inclusive of all Iranian oil rigs, or refineries, or other oil/gas infrastructure located on Iranian soil or within Iranian maritime territory, between September 30 and October 4, 2024, 11:59 PM ET. Otherwise, this market will resolve to “No”.

This includes, but is not limited to drone and missile strikes, aerial bombings, and kinetec actions carried out by Israeli operative","[""253721807403128885818780805819677847184139224256274689835417066995410894959"", ""5781274497422244647705125773882757929635157445296024465463932814064725055895""]"
Will Trump meet with Ali Khamenei in 2025?,will-trump-meet-with-ali-khamenei-in-2025,524150,112323.080841,0.0,True,True,2025-12-31T12:00:00Z,2025-02-19T19:50:00.059922Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the listed individual meets with Donald Trump between February 18, and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

A meeting is defined as any encounter where both listed individual and Trump are present and interact with each other in person.

The resolution source will be a consensus of credible reporting.","[""104155929591293254783821621142148815530531533147484945233340134539982409033440"", ""21205872254854242174429827386961397652258543842369776959519169669404904916901""]"
Will Israel target an Iranian nuclear facility?,will-israel-target-an-iranian-nuclear-facility,508571,111944.714546,0.0,True,True,2024-10-04T12:00:00Z,2024-10-01T18:21:12.707099Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if Israel carries out a kinetic military strike against any Iranian facility used for the development, enrichment, storage, or processing of nuclear material or technology, including reactors, enrichment facilities, uranium mines, and research centers located on Iranian soil, between September 30 and October 4, 2024, 11:59 PM ET. Otherwise, this market will resolve to “No”.

This includes, but is not limited to drone and missile strikes, aerial bombings, and kin","[""112120392610786833713945765974840591626040372407969813390330327177141928609081"", ""8819000957348029533788150195209966639648357510779756674500694089323035437404""]"
Will Iran withdraw from the NPT in 2025?,will-iran-withdraw-from-the-npt-in-2025,567031,108982.876478,0.0,True,True,2025-12-31T00:00:00Z,2025-07-23T15:57:01.487305Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the Islamic Republic of Iran formally notifies the United Nations of its decision to withdraw from the Nuclear Non-Proliferation Treaty (NPT), pursuant to Article X of the treaty by December 31, 2025 at 11:59 PM ET. Otherwise, this market will resolve to ""No.""

To qualify, the Iranian government must issue an official written notice that explicitly states its intention to withdraw under Article X of the NPT.

The resolution sources for this market will be a c","[""26010526170539272390664504795029187224630250840515621569643073212711329638501"", ""55346615837083354459105784324981801541770633815926083767589010508213026795971""]"
Trump x Khamenei talk in 2025? ,trump-x-khamenei-talk-in-2025,556129,60206.287443,0.0,True,True,2025-12-31T00:00:00Z,2025-06-26T21:49:00.344844Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if Donald Trump and Ali Khamenei speak directly to one another between June 26, 7:00 PM ET, and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Any conversation that occurs directly between Donald Trump and Ali Khamenei will qualify, regardless of whether it is over the phone, videocall, or in person. The conversation must be voice-based, not text-based.

The primary resolution source for this market will be information from the gov","[""11169942413119485892326377889960648739690951195438044336129845457935283943240"", ""63738600486683917348172414137679432345034756171630954870057846819637387478958""]"
Congress authorizes military force against Iran in 2025?,congress-authorizes-military-force-against-iran-in-2025,555132,54734.484901,0.0,True,True,2026-01-01T00:00:00Z,2025-06-23T17:40:51.835478Z,"['Yes', 'No']","['0', '1']","This market will resolve to ""Yes"" if the United States enacts an Authorization for Use of Military Force (AUMF) specifically targeting Iran between June 23, 2025 and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

To qualify, both chambers of Congress must pass, and the President (currently Donald Trump) must sign into law, a bill that explicitly authorizes the use of U.S. military force against Iran. The authorization does not need to use the exact phrase “Authoriz","[""82106003850680510354611090287605085527680674243516386620499071777725668640223"", ""50951149694772470135874522640285614442356311358606514989987320160593328267939""]"
